Date,Open,High,Low,Close,Adj Close
2022-01-01,22765.0,22830.0,22680.0,22745.0,22745.0
2022-01-08,22740.0,22750.0,22670.0,22710.0,22710.0
2022-01-15,22710.0,22800.0,22610.0,22645.0,22645.0
2022-01-22,22645.0,22700.0,22610.0,22630.0,22630.0
2022-01-29,22630.0,22660.0,22630.0,22645.0,22645.0
2022-02-05,22645.0,22735.0,22635.0,22680.0,22680.0
2022-02-12,22680.0,22850.0,22670.0,22785.0,22785.0
2022-02-19,22785.0,22850.0,22785.0,22840.0,22840.0
2022-02-26,22840.0,22850.0,22800.0,22835.0,22835.0
2022-03-05,22835.0,22880.0,22830.0,22835.0,22835.0
2022-03-12,22850.0,22895.0,22830.0,22865.0,22865.0
2022-03-19,22865.0,22893.0,22850.0,22869.0,22869.0
2022-03-26,22867.0,22875.0,22830.0,22838.0,22838.0
2022-04-02,22838.0,22877.0,22830.0,22859.0,22859.0
2022-04-09,22859.0,22903.0,22840.0,22900.0,22900.0
2022-04-16,22900.0,22983.0,22840.0,22962.0,22962.0
2022-04-23,22962.0,22983.0,22947.0,22956.0,22956.0
2022-04-30,22956.0,22974.0,22945.0,22955.0,22955.0
2022-05-07,22955.0,23100.0,22935.0,23096.0,23096.0
2022-05-14,23096.0,23175.0,23075.0,23140.0,23140.0
2022-05-21,23140.0,23215.0,23127.0,23205.0,23205.0
2022-05-28,23205.0,23207.0,23175.0,23193.0,23193.0
2022-06-04,23193.0,23198.0,23155.0,23155.0,23155.0
2022-06-11,23155.0,23245.0,23155.0,23232.0,23232.0
2022-06-18,23232.0,23255.0,23190.0,23244.0,23244.0
2022-06-25,23244.0,23310.0,23199.0,23255.0,23255.0
2022-07-02,23255.0,23383.0,23255.0,23350.0,23350.0
2022-07-09,23350.0,23450.0,23320.0,23415.0,23415.0
2022-07-16,23415.0,23450.0,23380.0,23410.0,23410.0
2022-07-23,23410.0,23410.0,23335.0,23358.0,23358.0
2022-07-30,23358.0,23413.0,23335.0,23393.0,23393.0
2022-08-06,23393.0,23410.0,23375.0,23390.0,23390.0
2022-08-13,23390.0,23407.0,23375.0,23401.0,23401.0
2022-08-20,23401.0,23480.0,23395.0,23423.0,23423.0
2022-08-27,23423.0,23455.0,23390.0,23450.0,23450.0
2022-09-03,23450.0,23620.0,23440.0,23542.0,23542.0
2022-09-10,23542.0,23665.0,23500.0,23620.0,23620.0
2022-09-17,23620.0,23710.0,23600.0,23700.0,23700.0
2022-09-24,23700.0,23875.0,23700.0,23820.0,23820.0
2022-10-01,23820.0,23907.0,23800.0,23870.0,23870.0
2022-10-08,23870.0,24167.0,23850.0,24120.0,24120.0
2022-10-15,24120.0,24820.0,24080.0,24530.0,24530.0
2022-10-22,24530.0,24860.0,24530.0,24830.0,24830.0
2022-10-29,24830.0,24876.0,24805.0,24860.0,24860.0
2022-11-05,24860.0,24876.0,24790.0,24865.0,24865.0
2022-11-12,24865.0,24865.0,24720.0,24805.0,24805.0
2022-11-19,24805.0,24852.0,24745.0,24833.0,24833.0
2022-11-26,24833.0,24850.0,24350.0,24500.0,24500.0
2022-12-03,24500.0,24430.0,23490.0,23780.0,23780.0
2022-12-10,23780.0,23780.0,23450.0,23500.0,23500.0
2022-12-17,23500.0,23830.0,23515.0,23630.0,23630.0
2022-12-24,23630.0,23660.0,23540.0,23600.0,23600.0
2022-12-31,23600.0,23630.0,23450.0,23475.0,23475.0
2023-01-07,23475.0,23480.0,23435.0,23438.0,23438.0
2023-01-14,23438.0,24475.0,23422.0,23440.0,23440.0
2023-01-21,23440.0,23475.0,23440.0,23440.0,23440.0
2023-01-28,23440.0,23500.0,23435.0,23449.0,23449.0
2023-02-04,23449.0,23630.0,23440.0,23560.0,23560.0
2023-02-11,23560.0,23820.0,23547.0,23680.0,23680.0
2023-02-18,23680.0,23850.0,23680.0,23815.0,23815.0
2023-02-25,23815.0,23820.0,23690.0,23700.0,23700.0
2023-03-04,23700.0,23750.0,23615.0,23680.0,23680.0
2023-03-11,23680.0,23700.0,23530.0,23560.0,23560.0
2023-03-18,23560.0,23595.0,23480.0,23490.0,23490.0
2023-03-25,23490.0,23525.0,23450.0,23470.0,23470.0
2023-04-01,23470.0,23505.0,23440.0,23451.0,23451.0
2023-04-08,23451.0,23451.0,23435.0,23440.0,23440.0
2023-04-15,23440.0,23511.0,23440.0,23488.0,23488.0
2023-04-22,23488.0,23496.0,23445.0,23445.0,23445.0
2023-04-29,23445.0,23460.0,23440.0,23445.0,23445.0
2023-05-06,23445.0,23470.0,23440.0,23465.0,23465.0
2023-05-13,23465.0,23485.0,23400.0,23450.0,23450.0
2023-05-20,23450.0,23500.0,23425.0,23470.0,23470.0
2023-05-27,23470.0,23494.0,23450.0,23485.0,23485.0
2023-06-03,23485.0,23504.0,23450.0,23490.0,23490.0
2023-06-10,23490.0,23538.0,23465.0,23525.0,23525.0
2023-06-17,23525.0,23535.0,23495.0,23515.0,23515.0
2023-06-24,23515.0,23588.0,23485.0,23569.0,23569.0
2023-07-01,23569.0,23780.0,23543.0,23710.0,23710.0
2023-07-08,23710.0,23710.0,23601.0,23665.0,23665.0
2023-07-15,23665.0,23685.0,23620.0,23647.0,23647.0
2023-07-22,23647.0,23692.0,23630.0,23661.0,23661.0
2023-07-29,23661.0,23768.0,23660.0,23750.0,23750.0
2023-08-05,23750.0,23757.0,23670.0,23740.0,23740.0
2023-08-12,23740.0,24000.0,23680.0,23850.0,23850.0
2023-08-19,23850.0,23975.0,23770.0,23900.0,23900.0
2023-08-26,23900.0,24195.0,23950.0,24060.0,24060.0
2023-09-02,24060.0,24110.0,23975.0,24060.0,24060.0
2023-09-09,24060.0,24260.0,24025.0,24220.0,24220.0
2023-09-16,24220.0,24408.0,23350.0,24310.0,24310.0
2023-09-23,24310.0,24435.0,24245.0,24385.0,24385.0
2023-09-30,24385.0,24430.0,24245.0,24380.0,24380.0
2023-10-07,24380.0,24470.0,24345.0,24435.0,24435.0
2023-10-14,24435.0,24585.0,24415.0,24550.0,24550.0
2023-10-21,24550.0,24610.0,24470.0,24604.0,24604.0
2023-10-28,24604.0,24604.0,24520.0,24570.0,24570.0
2023-11-04,24570.0,24570.0,24255.0,24340.0,24340.0
2023-11-11,24340.0,24391.0,24220.0,24288.0,24288.0
2023-11-18,24288.0,24290.0,24090.0,24240.0,24240.0
2023-11-25,24240.0,24305.0,23240.0,24250.0,24250.0
2023-12-02,24290.0,24295.0,24220.0,24275.0,24275.0
2023-12-09,24275.0,24279.0,24170.0,24245.0,24245.0
2023-12-16,24245.0,24373.0,24210.0,24320.0,24320.0
2023-12-23,24320.0,24380.0,24170.0,24235.0,24235.0
2023-12-30,24235.0,24390.0,24215.0,24360.0,24360.0
2024-01-06,24360.0,24520.0,24320.0,24475.0,24475.0
2024-01-13,24475.0,24560.0,24460.0,24545.0,24545.0
2024-01-20,24545.0,24615.0,24500.0,24605.0,24605.0
2024-01-27,24605.0,24615.0,24310.0,24400.0,24400.0
2024-02-03,24400.0,24450.0,24310.0,24400.0,24400.0
2024-02-10,24400.0,24535.0,24380.0,24450.0,24450.0
2024-02-17,24450.0,24640.0,24415.0,24590.0,24590.0
2024-02-24,24590.0,24700.0,24570.0,24640.0,24640.0
2024-03-02,24640.0,24713.0,24615.0,24680.0,24680.0
2024-03-09,24680.0,24800.0,24590.0,24690.0,24690.0
2024-03-16,24720.0,24813.0,24680.0,24785.0,24785.0
2024-03-23,24785.0,24813.0,24720.0,24790.0,24790.0
2024-03-30,24790.0,25008.0,24760.0,24935.0,24935.0
2024-04-06,24935.0,25015.0,24920.0,24980.0,24980.0
2024-04-13,24980.0,25453.0,24955.0,25400.0,25400.0
2024-04-20,25400.0,25458.0,25300.0,25350.0,25350.0
2024-04-27,25350.0,25416.0,25310.0,25390.0,25390.0
2024-05-04,25390.0,25453.0,23350.0,25440.0,25440.0
2024-05-11,25440.0,25455.0,25420.0,25431.0,25431.0
2024-05-18,25431.0,25476.0,25420.0,25469.0,25469.0
2024-05-25,25469.0,25476.0,25430.0,25450.0,25450.0
2024-06-01,25450.0,25456.0,25400.0,25420.0,25420.0
2024-06-08,25420.0,25450.0,24415.0,25435.0,25435.0
2024-06-15,25435.0,25455.0,25410.0,25450.0,25450.0
2024-06-22,25450.0,25468.0,25420.0,25455.0,25455.0
2024-06-29,25455.0,25460.0,25400.0,25450.0,25450.0
2024-07-06,25450.0,25453.0,25400.0,25420.0,25420.0
2024-07-13,25420.0,25445.0,25269.0,25310.0,25310.0
2024-07-20,25310.0,25411.0,25285.0,25285.0,25285.0
2024-07-27,25285.0,25332.0,25185.0,25215.0,25215.0
2024-08-03,25215.0,25225.0,25050.0,25135.0,25135.0
2024-08-10,25135.0,25150.0,22080.0,25035.0,25035.0
2024-08-17,25035.0,25084.0,24895.0,24960.0,24960.0
2024-08-24,24960.0,25010.0,24800.0,24870.0,24870.0
