date,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,z_SHOCK_Index,z_VOL_Base_Index,z_MDI_Index,z_LEARN_Index,z_ESCAPE_Index
2021-12-26,0.2,26.6,22.8,33.0,21.0,-0.7222638318264015,3.521055221438998,0.46378367262570036,2.9895296673472513,0.06063527232880112
2022-01-02,0.2,19.8,25.0,38.6,23.4,-0.7222638318264015,2.2913821167602606,0.9208295679251193,3.9636812930670313,0.7365029103368481
2022-01-09,0.0,12.8,21.8,27.4,18.4,-0.7467810444663804,1.02554215606156,0.2560355383986917,2.015378041627472,-0.671554668846584
2022-01-16,0.0,6.6,17.6,18.4,15.4,-0.7467810444663804,-0.09563038055728916,-0.6165066253547444,0.4497772145778258,-1.5163892163566428
2022-01-23,0.0,4.8,11.6,11.8,17.0,-0.7467810444663804,-0.42113208473695496,-1.8629954307167966,-0.698330058591914,-1.0658107910179446
2022-01-30,0.0,0.0,9.4,5.0,7.8,-0.7467810444663804,-1.2891366292160638,-2.3200413260162156,-1.8812284612516466,-3.6566367367154595
2022-02-06,0.0,0.0,13.2,12.6,22.6,-0.7467810444663804,-1.2891366292160638,-1.530598415953583,-0.5591655406319457,0.5112136976674998
2022-02-13,0.0,2.2,15.4,16.6,21.6,-0.7467810444663804,-0.8913012129964721,-1.0735525206541636,0.13665704916789717,0.22960218183081338
2022-02-20,0.0,6.6,17.6,17.8,23.2,-0.7467810444663804,-0.09563038055728916,-0.6165066253547444,0.3454038261078498,0.680180607169511
2022-02-27,0.0,7.2,18.4,21.4,25.8,-0.7467810444663804,0.012870187502599549,-0.45030811797313813,0.9716441569277078,1.412370548344896
2022-03-06,0.0,14.0,22.2,26.0,25.6,-0.7467810444663804,1.242543292181337,0.3391347920894949,1.771840135197527,1.356048245177559
2022-03-13,0.2,16.0,31.4,30.2,29.0,-0.7222638318264015,1.6042118523809659,2.250417626977974,2.5024538544873614,2.3135273990222927
2022-03-20,0.0,10.4,27.8,26.2,28.4,-0.7467810444663804,0.5915398838220055,1.5025243437607436,1.806631264687519,2.14456048952028
2022-03-27,0.0,12.2,21.8,23.0,26.0,-0.7467810444663804,0.9170415880016711,0.2560355383986917,1.249973192847645,1.4686928515122333
2022-04-03,0.0,10.0,21.6,20.8,24.0,-0.7467810444663804,0.5192061717820797,0.21448591155329014,0.8672707684577318,0.9054698198388604
2022-04-10,0.0,5.2,22.0,21.0,23.2,-0.7467810444663804,-0.3487983726970291,0.2975851652440933,0.9020618979477237,0.680180607169511
2022-04-17,0.0,9.6,23.0,22.8,23.6,-0.7467810444663804,0.4468724597421539,0.505333299471102,1.215182063357653,0.7928252135041862
2022-04-24,0.0,9.6,22.0,22.8,23.8,-0.7467810444663804,0.4468724597421539,0.2975851652440933,1.215182063357653,0.8491475166715233
2022-05-01,0.0,8.6,21.0,22.8,23.0,-0.7467810444663804,0.26603817964233956,0.08983703101708464,1.215182063357653,0.623858304002174
2022-05-08,0.0,8.4,22.4,21.6,24.0,-0.7467810444663804,0.2298713236223768,0.38068441893489646,1.0064352864177004,0.9054698198388604
2022-05-15,0.0,2.0,21.0,15.6,20.0,-0.7467810444663804,-0.9274680690164351,0.08983703101708464,-0.03729859828206379,-0.2209762435078853
2022-05-22,0.0,0.0,18.6,11.6,18.2,-0.7467810444663804,-1.2891366292160638,-0.4087584911277358,-0.7331211880819064,-0.7278769720139211
