date,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,z_SHOCK_Index,z_VOL_Base_Index,z_MDI_Index,z_LEARN_Index,z_ESCAPE_Index
2021-12-26,0.0,0.0,8.2,0.4,14.8,-1.1488929539023098,-1.3452602775471008,-1.7149470428519986,-0.849347128006657,-1.1846183331952556
2022-01-02,0.0,0.0,12.8,0.8,20.6,-1.1488929539023098,-1.3452602775471008,-0.888704393219775,-0.8158143052398994,0.13989935161041547
2022-01-09,0.0,0.0,11.4,0.6,20.0,-1.1488929539023098,-1.3452602775471008,-1.140169547455669,-0.8325807166232783,0.002880280768449198
2022-01-16,0.0,0.0,12.2,0.8,19.6,-1.1488929539023098,-1.3452602775471008,-0.996475173606587,-0.8158143052398994,-0.08846576645952778
2022-01-23,0.0,0.0,15.4,0.8,21.4,-1.1488929539023098,-1.3452602775471008,-0.42169767821025744,-0.8158143052398994,0.32259144606636947
2022-01-30,0.0,0.0,14.4,0.8,21.2,-1.1488929539023098,-1.3452602775471008,-0.6013156455216103,-0.8158143052398994,0.27691842245238096
2022-02-06,0.0,0.0,16.6,0.8,22.4,-1.1488929539023098,-1.3452602775471008,-0.20615611743663378,-0.8158143052398994,0.5509565641363127
2022-02-13,0.0,0.0,14.6,0.6,20.2,-1.1488929539023098,-1.3452602775471008,-0.56539205205934,-0.8325807166232783,0.04855330438243769
2022-02-20,0.0,0.0,15.8,0.6,19.2,-1.1488929539023098,-1.3452602775471008,-0.3498504912857162,-0.8325807166232783,-0.17981181368750557
2022-02-27,0.0,0.0,16.2,0.8,20.4,-1.1488929539023098,-1.3452602775471008,-0.2780033043611753,-0.8158143052398994,0.09422632799642618
2022-03-06,0.0,0.0,16.0,0.8,20.0,-1.1488929539023098,-1.3452602775471008,-0.3139268978234458,-0.8158143052398994,0.002880280768449198
2022-03-13,0.0,0.0,15.2,0.6,19.6,-1.1488929539023098,-1.3452602775471008,-0.45762127167252825,-0.8325807166232783,-0.08846576645952778
2022-03-20,0.0,0.0,16.0,0.6,20.4,-1.1488929539023098,-1.3452602775471008,-0.3139268978234458,-0.8325807166232783,0.09422632799642618
2022-03-27,0.0,0.0,16.6,0.8,20.4,-1.1488929539023098,-1.3452602775471008,-0.20615611743663378,-0.8158143052398994,0.09422632799642618
2022-04-03,0.0,0.0,17.6,0.6,20.8,-1.1488929539023098,-1.3452602775471008,-0.02653815012528086,-0.8325807166232783,0.18557237522440398
2022-04-10,0.0,0.0,15.8,1.0,19.2,-1.1488929539023098,-1.3452602775471008,-0.3498504912857162,-0.7990478938565206,-0.17981181368750557
2022-04-17,0.0,0.0,17.2,0.8,20.8,-1.1488929539023098,-1.3452602775471008,-0.09838533704982241,-0.8158143052398994,0.18557237522440398
2022-04-24,0.0,0.4,17.8,1.0,19.2,-1.1488929539023098,-1.2753275339303214,0.009385443336989596,-0.7990478938565206,-0.17981181368750557
2022-05-01,0.0,0.8,18.0,0.8,19.4,-1.1488929539023098,-1.205394790313542,0.04530903679926005,-0.8158143052398994,-0.1341387900735171
2022-05-08,0.0,2.6,16.2,0.6,18.8,-1.1488929539023098,-0.8906974440380349,-0.2780033043611753,-0.8325807166232783,-0.27115786091548255
2022-05-15,0.0,1.8,13.8,0.8,18.6,-1.1488929539023098,-1.0305629312715936,-0.7090864259084221,-0.8158143052398994,-0.31683088452947106
2022-05-22,0.0,2.4,13.2,1.2,17.0,-1.1488929539023098,-0.9256638158464247,-0.8168572062952341,-0.7822814824731419,-0.6822150734413805
2022-05-29,0.0,2.0,12.6,1.0,17.0,-1.1488929539023098,-0.9955965594632039,-0.9246279866820457,-0.7990478938565206,-0.6822150734413805
2022-06-05,0.0,2.6,13.4,0.6,18.0,-1.1488929539023098,-0.8906974440380349,-0.7809336128329633,-0.8325807166232783,-0.45384995537143735
2022-06-12,0.0,3.4,13.6,1.0,18.0,-1.1488929539023098,-0.7508319568044762,-0.7450100193706929,-0.7990478938565206,-0.45384995537143735
2022-06-19,0.0,1.6,13.2,0.6,19.6,-1.1488929539023098,-1.0655293030799833,-0.8168572062952341,-0.8325807166232783,-0.08846576645952778
2022-06-26,0.0,1.8,13.2,0.8,18.4,-1.1488929539023098,-1.0305629312715936,-0.8168572062952341,-0.8158143052398994,-0.36250390814346034
2022-07-03,0.0,1.2,12.6,0.6,17.0,-1.1488929539023098,-1.1354620466967627,-0.9246279866820457,-0.8325807166232783,-0.6822150734413805
2022-07-10,0.2,1.6,13.4,0.8,19.0,-1.1174474803766887,-1.0655293030799833,-0.7809336128329633,-0.8158143052398994,-0.22548483730149407
2022-07-17,0.0,1.4,14.0,0.8,19.2,-1.1488929539023098,-1.1004956748883732,-0.6731628324461516,-0.8158143052398994,-0.17981181368750557
2022-07-24,0.0,1.8,14.2,1.0,19.2,-1.1488929539023098,-1.0305629312715936,-0.6372392389838811,-0.7990478938565206,-0.17981181368750557
2022-07-31,0.2,2.4,13.8,1.0,18.8,-1.1174474803766887,-0.9256638158464247,-0.7090864259084221,-0.7990478938565206,-0.27115786091548255
2022-08-07,0.2,1.4,13.2,0.8,18.6,-1.1174474803766887,-1.1004956748883732,-0.8168572062952341,-0.8158143052398994,-0.31683088452947106
2022-08-14,0.2,1.2,13.4,1.0,19.4,-1.1174474803766887,-1.1354620466967627,-0.7809336128329633,-0.7990478938565206,-0.1341387900735171
2022-08-21,0.2,1.2,13.6,1.2,18.6,-1.1174474803766887,-1.1354620466967627,-0.7450100193706929,-0.7822814824731419,-0.31683088452947106
2022-08-28,0.2,1.0,14.2,1.0,17.8,-1.1174474803766887,-1.1704284185051523,-0.6372392389838811,-0.7990478938565206,-0.4995229789854258
2022-09-04,0.2,1.0,13.0,1.0,17.6,-1.1174474803766887,-1.1704284185051523,-0.8527807997575045,-0.7990478938565206,-0.5451960025994144
2022-09-11,0.2,0.8,15.0,1.0,18.8,-1.1174474803766887,-1.205394790313542,-0.49354486513479867,-0.7990478938565206,-0.27115786091548255
2022-09-18,0.2,1.0,14.6,1.0,18.4,-1.1174474803766887,-1.1704284185051523,-0.56539205205934,-0.7990478938565206,-0.36250390814346034
2022-09-25,0.0,0.8,14.8,1.0,16.2,-1.1488929539023098,-1.205394790313542,-0.5294684585970691,-0.7990478938565206,-0.8649071678973353
