country,response,shock,week,share_pct
VN,Job Quitting (level),AI Volatility,4,2.05661
VN,Job Quitting (level),AI Volatility,5,9.77536
VN,Job Quitting (level),GenAI Shock,1,5.37585
VN,Job Quitting (level),GenAI Shock,2,65.45626
VN,Job Quitting (level),GenAI Shock,3,18.69839
VN,Job Quitting (level),GenAI Shock,4,22.97864
VN,Job Quitting (level),GenAI Shock,5,17.38888
VN,Job Quitting (level),Job Insecurity (level),1,10.69649
VN,Job Quitting (level),Job Insecurity (level),2,6.70255
VN,Job Quitting (level),Job Insecurity (level),3,73.74513
VN,Job Quitting (level),Job Insecurity (level),4,10.03481
VN,Job Quitting (level),Job Insecurity (level),5,5.57483
VN,Job Quitting (level),Burnout (MDI),1,2.79272
VN,Job Quitting (level),Burnout (MDI),2,0.59625
VN,Job Quitting (level),Burnout (MDI),3,1.96973
VN,Job Quitting (level),Burnout (MDI),4,64.32648
VN,Job Quitting (level),Burnout (MDI),5,13.87512
VN,Job Quitting (level),Job Quitting (level),1,3.25331
VN,Job Quitting (level),Job Quitting (level),2,11.52094
VN,Job Quitting (level),Job Quitting (level),3,0.94135
VN,Job Quitting (level),Job Quitting (level),4,0.60346
VN,Job Quitting (level),Job Quitting (level),5,53.38581
