country,shock,response,week,irf,irf_units
VN,AI Volatility,Job Insecurity (level),26,0.006451,standardized (σ)
VN,AI Volatility,Burnout (MDI),0,0.0,standardized (σ)
VN,AI Volatility,Burnout (MDI),1,-0.070471,standardized (σ)
VN,AI Volatility,Burnout (MDI),2,0.0846796,standardized (σ)
VN,AI Volatility,Burnout (MDI),3,0.1695738,standardized (σ)
VN,AI Volatility,Burnout (MDI),4,0.1322039,standardized (σ)
VN,AI Volatility,Burnout (MDI),5,0.0053507,standardized (σ)
VN,AI Volatility,Burnout (MDI),6,-0.0119947,standardized (σ)
VN,AI Volatility,Burnout (MDI),7,-0.0073695,standardized (σ)
VN,AI Volatility,Burnout (MDI),8,-0.0105339,standardized (σ)
VN,AI Volatility,Burnout (MDI),9,-0.0103654,standardized (σ)
VN,AI Volatility,Burnout (MDI),10,-0.0086318,standardized (σ)
VN,AI Volatility,Burnout (MDI),11,0.0009925,standardized (σ)
VN,AI Volatility,Burnout (MDI),12,-0.0056738,standardized (σ)
VN,AI Volatility,Burnout (MDI),13,-0.0065292,standardized (σ)
VN,AI Volatility,Burnout (MDI),14,-0.0085342,standardized (σ)
VN,AI Volatility,Burnout (MDI),15,-0.004201,standardized (σ)
VN,AI Volatility,Burnout (MDI),16,-0.0040237,standardized (σ)
VN,AI Volatility,Burnout (MDI),17,-0.0029624,standardized (σ)
VN,AI Volatility,Burnout (MDI),18,-0.0032774,standardized (σ)
VN,AI Volatility,Burnout (MDI),19,-0.0023847,standardized (σ)
VN,AI Volatility,Burnout (MDI),20,-0.0023776,standardized (σ)
VN,AI Volatility,Burnout (MDI),21,-0.0019433,standardized (σ)
VN,AI Volatility,Burnout (MDI),22,-0.0017561,standardized (σ)
VN,AI Volatility,Burnout (MDI),23,-0.0013247,standardized (σ)
VN,AI Volatility,Burnout (MDI),24,-0.0011926,standardized (σ)
VN,AI Volatility,Burnout (MDI),25,-0.0010082,standardized (σ)
VN,AI Volatility,Burnout (MDI),26,-0.0009051,standardized (σ)
VN,AI Volatility,Job Quitting (level),0,0.0,standardized (σ)
VN,AI Volatility,Job Quitting (level),1,-0.0922898,standardized (σ)
VN,AI Volatility,Job Quitting (level),2,0.145936,standardized (σ)
VN,AI Volatility,Job Quitting (level),3,0.2463179,standardized (σ)
VN,AI Volatility,Job Quitting (level),4,0.2631633,standardized (σ)
VN,AI Volatility,Job Quitting (level),5,0.205601,standardized (σ)
VN,AI Volatility,Job Quitting (level),6,0.2013053,standardized (σ)
VN,AI Volatility,Job Quitting (level),7,0.1974789,standardized (σ)
VN,AI Volatility,Job Quitting (level),8,0.1830525,standardized (σ)
VN,AI Volatility,Job Quitting (level),9,0.1571883,standardized (σ)
VN,AI Volatility,Job Quitting (level),10,0.1329553,standardized (σ)
VN,AI Volatility,Job Quitting (level),11,0.1098207,standardized (σ)
VN,AI Volatility,Job Quitting (level),12,0.0894837,standardized (σ)
VN,AI Volatility,Job Quitting (level),13,0.0740254,standardized (σ)
VN,AI Volatility,Job Quitting (level),14,0.0603099,standardized (σ)
VN,AI Volatility,Job Quitting (level),15,0.0494184,standardized (σ)
VN,AI Volatility,Job Quitting (level),16,0.0396901,standardized (σ)
VN,AI Volatility,Job Quitting (level),17,0.0320807,standardized (σ)
VN,AI Volatility,Job Quitting (level),18,0.0253315,standardized (σ)
VN,AI Volatility,Job Quitting (level),19,0.0203669,standardized (σ)
VN,AI Volatility,Job Quitting (level),20,0.0162177,standardized (σ)
VN,AI Volatility,Job Quitting (level),21,0.0130194,standardized (σ)
VN,AI Volatility,Job Quitting (level),22,0.0102613,standardized (σ)
VN,AI Volatility,Job Quitting (level),23,0.0081506,standardized (σ)
VN,AI Volatility,Job Quitting (level),24,0.0063907,standardized (σ)
VN,AI Volatility,Job Quitting (level),25,0.0050332,standardized (σ)
VN,AI Volatility,Job Quitting (level),26,0.0039186,standardized (σ)
VN,GenAI Shock,AI Volatility,0,0.0,standardized (σ)
VN,GenAI Shock,AI Volatility,1,0.1072168,standardized (σ)
VN,GenAI Shock,AI Volatility,2,-0.1047095,standardized (σ)
VN,GenAI Shock,AI Volatility,3,0.0114899,standardized (σ)
VN,GenAI Shock,AI Volatility,4,-0.0046775,standardized (σ)
VN,GenAI Shock,AI Volatility,5,0.0017223,standardized (σ)
VN,GenAI Shock,AI Volatility,6,-0.0041486,standardized (σ)
VN,GenAI Shock,AI Volatility,7,0.0242694,standardized (σ)
VN,GenAI Shock,AI Volatility,8,0.0141749,standardized (σ)
VN,GenAI Shock,AI Volatility,9,0.0161388,standardized (σ)
VN,GenAI Shock,AI Volatility,10,0.0133256,standardized (σ)
VN,GenAI Shock,AI Volatility,11,0.0083187,standardized (σ)
VN,GenAI Shock,AI Volatility,12,0.0042059,standardized (σ)
VN,GenAI Shock,AI Volatility,13,0.0061511,standardized (σ)
VN,GenAI Shock,AI Volatility,14,0.0063447,standardized (σ)
VN,GenAI Shock,AI Volatility,15,0.0047387,standardized (σ)
VN,GenAI Shock,AI Volatility,16,0.0037231,standardized (σ)
VN,GenAI Shock,AI Volatility,17,0.0030301,standardized (σ)
VN,GenAI Shock,AI Volatility,18,0.0023729,standardized (σ)
VN,GenAI Shock,AI Volatility,19,0.0018537,standardized (σ)
VN,GenAI Shock,AI Volatility,20,0.0016985,standardized (σ)
VN,GenAI Shock,AI Volatility,21,0.001407,standardized (σ)
VN,GenAI Shock,AI Volatility,22,0.0011729,standardized (σ)
VN,GenAI Shock,AI Volatility,23,0.000919,standardized (σ)
VN,GenAI Shock,AI Volatility,24,0.0007562,standardized (σ)
VN,GenAI Shock,AI Volatility,25,0.0006009,standardized (σ)
VN,GenAI Shock,AI Volatility,26,0.0005142,standardized (σ)
VN,GenAI Shock,GenAI Shock,0,1.0,standardized (σ)
VN,GenAI Shock,GenAI Shock,1,0.222109,standardized (σ)
VN,GenAI Shock,GenAI Shock,2,-0.3329956,standardized (σ)
VN,GenAI Shock,GenAI Shock,3,-0.165473,standardized (σ)
VN,GenAI Shock,GenAI Shock,4,-0.0215229,standardized (σ)
VN,GenAI Shock,GenAI Shock,5,-0.0256359,standardized (σ)
VN,GenAI Shock,GenAI Shock,6,0.0502183,standardized (σ)
VN,GenAI Shock,GenAI Shock,7,0.0531097,standardized (σ)
VN,GenAI Shock,GenAI Shock,8,-0.0067057,standardized (σ)
VN,GenAI Shock,GenAI Shock,9,-0.0264291,standardized (σ)
VN,GenAI Shock,GenAI Shock,10,-0.0088097,standardized (σ)
VN,GenAI Shock,GenAI Shock,11,-0.0090395,standardized (σ)
VN,GenAI Shock,GenAI Shock,12,-0.0013456,standardized (σ)
VN,GenAI Shock,GenAI Shock,13,0.0032367,standardized (σ)
VN,GenAI Shock,GenAI Shock,14,0.001375,standardized (σ)
VN,GenAI Shock,GenAI Shock,15,-0.0039939,standardized (σ)
VN,GenAI Shock,GenAI Shock,16,-0.002428,standardized (σ)
