country,shock,response,horizon_week,irf_value
VN,GenAI shock,AI Volatility,1,0.350118
VN,GenAI shock,AI Volatility,2,0.180552
VN,GenAI shock,AI Volatility,3,0.058392
VN,GenAI shock,AI Volatility,4,0.061882
VN,GenAI shock,AI Volatility,5,0.048536
VN,GenAI shock,AI Volatility,6,0.034767
VN,GenAI shock,AI Volatility,7,0.017693
VN,GenAI shock,AI Volatility,8,0.010728
VN,GenAI shock,AI Volatility,9,0.005513
VN,GenAI shock,AI Volatility,10,0.001839
VN,GenAI shock,AI Volatility,11,-0.000858
VN,GenAI shock,AI Volatility,12,-0.002364
VN,GenAI shock,AI Volatility,13,-0.003125
VN,GenAI shock,AI Volatility,14,-0.003454
VN,GenAI shock,AI Volatility,15,-0.003464
VN,GenAI shock,AI Volatility,16,-0.00328
VN,GenAI shock,AI Volatility,17,-0.002971
VN,GenAI shock,AI Volatility,18,-0.002612
VN,GenAI shock,AI Volatility,19,-0.002236
VN,GenAI shock,AI Volatility,20,-0.001874
VN,GenAI shock,AI Volatility,21,-0.001538
VN,GenAI shock,AI Volatility,22,-0.001239
VN,GenAI shock,AI Volatility,23,-0.000979
VN,GenAI shock,AI Volatility,24,-0.000759
VN,GenAI shock,AI Volatility,25,-0.000576
VN,GenAI shock,AI Volatility,26,-0.000427
VN,GenAI shock,GenAI shock,0,1.0
VN,GenAI shock,GenAI shock,1,0.153344
VN,GenAI shock,GenAI shock,2,-0.241317
VN,GenAI shock,GenAI shock,3,-0.066591
VN,GenAI shock,GenAI shock,4,0.021071
VN,GenAI shock,GenAI shock,5,0.004405
VN,GenAI shock,GenAI shock,6,-0.018602
VN,GenAI shock,GenAI shock,7,-0.012348
VN,GenAI shock,GenAI shock,8,-0.005798
VN,GenAI shock,GenAI shock,9,-0.004858
VN,GenAI shock,GenAI shock,10,-0.004931
VN,GenAI shock,GenAI shock,11,-0.004035
VN,GenAI shock,GenAI shock,12,-0.002993
VN,GenAI shock,GenAI shock,13,-0.002359
VN,GenAI shock,GenAI shock,14,-0.001875
VN,GenAI shock,GenAI shock,15,-0.001463
VN,GenAI shock,GenAI shock,16,-0.001102
VN,GenAI shock,GenAI shock,17,-0.000825
VN,GenAI shock,GenAI shock,18,-0.000607
VN,GenAI shock,GenAI shock,19,-0.000438
VN,GenAI shock,GenAI shock,20,-0.000305
VN,GenAI shock,GenAI shock,21,-0.000205
VN,GenAI shock,GenAI shock,22,-0.00013
VN,GenAI shock,GenAI shock,23,-7.6e-05
VN,GenAI shock,GenAI shock,24,-3.7e-05
VN,GenAI shock,GenAI shock,25,-1e-05
VN,GenAI shock,GenAI shock,26,7e-06
VN,GenAI shock,Job Insecurity,0,0.0
VN,GenAI shock,Job Insecurity,1,0.702117
VN,GenAI shock,Job Insecurity,2,0.20345
VN,GenAI shock,Job Insecurity,3,0.223533
VN,GenAI shock,Job Insecurity,4,0.27146
VN,GenAI shock,Job Insecurity,5,0.33482
VN,GenAI shock,Job Insecurity,6,0.275977
VN,GenAI shock,Job Insecurity,7,0.245647
VN,GenAI shock,Job Insecurity,8,0.212016
VN,GenAI shock,Job Insecurity,9,0.184519
VN,GenAI shock,Job Insecurity,10,0.151714
VN,GenAI shock,Job Insecurity,11,0.123854
VN,GenAI shock,Job Insecurity,12,0.098904
VN,GenAI shock,Job Insecurity,13,0.077957
VN,GenAI shock,Job Insecurity,14,0.060005
VN,GenAI shock,Job Insecurity,15,0.045275
VN,GenAI shock,Job Insecurity,16,0.033331
VN,GenAI shock,Job Insecurity,17,0.023859
VN,GenAI shock,Job Insecurity,18,0.016458
VN,GenAI shock,Job Insecurity,19,0.010796
VN,GenAI shock,Job Insecurity,20,0.006559
VN,GenAI shock,Job Insecurity,21,0.003467
VN,GenAI shock,Job Insecurity,22,0.001279
VN,GenAI shock,Job Insecurity,23,-0.000209
VN,GenAI shock,Job Insecurity,24,-0.001164
VN,GenAI shock,Job Insecurity,25,-0.001725
VN,GenAI shock,Job Insecurity,26,-0.002
VN,GenAI shock,Burnout (MDI),0,0.0
VN,GenAI shock,Burnout (MDI),1,0.230156
VN,GenAI shock,Burnout (MDI),2,-0.082124
VN,GenAI shock,Burnout (MDI),3,0.016119
VN,GenAI shock,Burnout (MDI),4,0.047096
VN,GenAI shock,Burnout (MDI),5,0.00936
VN,GenAI shock,Burnout (MDI),6,-0.000735
VN,GenAI shock,Burnout (MDI),7,0.000114
VN,GenAI shock,Burnout (MDI),8,8.5e-05
VN,GenAI shock,Burnout (MDI),9,-0.002322
VN,GenAI shock,Burnout (MDI),10,-0.003183
VN,GenAI shock,Burnout (MDI),11,-0.003302
VN,GenAI shock,Burnout (MDI),12,-0.00309
VN,GenAI shock,Burnout (MDI),13,-0.002907
VN,GenAI shock,Burnout (MDI),14,-0.002606
VN,GenAI shock,Burnout (MDI),15,-0.002256
VN,GenAI shock,Burnout (MDI),16,-0.001898
VN,GenAI shock,Burnout (MDI),17,-0.001567
VN,GenAI shock,Burnout (MDI),18,-0.001268
VN,GenAI shock,Burnout (MDI),19,-0.001005
VN,GenAI shock,Burnout (MDI),20,-0.00078
VN,GenAI shock,Burnout (MDI),21,-0.000592
VN,GenAI shock,Burnout (MDI),22,-0.000439
VN,GenAI shock,Burnout (MDI),23,-0.000317
VN,GenAI shock,Burnout (MDI),24,-0.00022
VN,GenAI shock,Burnout (MDI),25,-0.000146
VN,GenAI shock,Burnout (MDI),26,-9e-05
VN,Job Insecurity,AI Volatility,0,0.0
VN,Job Insecurity,AI Volatility,1,0.003987
VN,Job Insecurity,AI Volatility,2,-0.018478
VN,Job Insecurity,AI Volatility,3,-0.018205
VN,Job Insecurity,AI Volatility,4,-0.016279
VN,Job Insecurity,AI Volatility,5,-0.017514
VN,Job Insecurity,AI Volatility,6,-0.014518
VN,Job Insecurity,AI Volatility,7,-0.013998
VN,Job Insecurity,AI Volatility,8,-0.011046
VN,Job Insecurity,AI Volatility,9,-0.009658
VN,Job Insecurity,AI Volatility,10,-0.007552
VN,Job Insecurity,AI Volatility,11,-0.006164
VN,Job Insecurity,AI Volatility,12,-0.004691
VN,Job Insecurity,AI Volatility,13,-0.003606
VN,Job Insecurity,AI Volatility,14,-0.002638
VN,Job Insecurity,AI Volatility,15,-0.001903
VN,Job Insecurity,AI Volatility,16,-0.001303
VN,Job Insecurity,AI Volatility,17,-0.000853
VN,Job Insecurity,AI Volatility,18,-0.00051
VN,Job Insecurity,AI Volatility,19,-0.000261
VN,Job Insecurity,AI Volatility,20,-8.4e-05
VN,Job Insecurity,AI Volatility,21,3.6e-05
VN,Job Insecurity,AI Volatility,22,0.000112
VN,Job Insecurity,AI Volatility,23,0.000157
VN,Job Insecurity,AI Volatility,24,0.000178
VN,Job Insecurity,AI Volatility,25,0.000182
VN,Job Insecurity,AI Volatility,26,0.000176
VN,Job Insecurity,GenAI shock,0,0.0
VN,Job Insecurity,GenAI shock,1,-0.034037
VN,Job Insecurity,GenAI shock,2,-0.02651
VN,Job Insecurity,GenAI shock,3,-0.007367
VN,Job Insecurity,GenAI shock,4,-0.009994
VN,Job Insecurity,GenAI shock,5,-0.006011
VN,Job Insecurity,GenAI shock,6,-0.006404
VN,Job Insecurity,GenAI shock,7,-0.003055
VN,Job Insecurity,GenAI shock,8,-0.002763
VN,Job Insecurity,GenAI shock,9,-0.001559
VN,Job Insecurity,GenAI shock,10,-0.001223
VN,Job Insecurity,GenAI shock,11,-0.000622
VN,Job Insecurity,GenAI shock,12,-0.000379
VN,Job Insecurity,GenAI shock,13,-0.000129
VN,Job Insecurity,GenAI shock,14,-6e-06
VN,Job Insecurity,GenAI shock,15,9.3e-05
VN,Job Insecurity,GenAI shock,16,0.000141
VN,Job Insecurity,GenAI shock,17,0.000167
VN,Job Insecurity,GenAI shock,18,0.000172
VN,Job Insecurity,GenAI shock,19,0.000167
VN,Job Insecurity,GenAI shock,20,0.000154
VN,Job Insecurity,GenAI shock,21,0.000137
VN,Job Insecurity,GenAI shock,22,0.000119
VN,Job Insecurity,GenAI shock,23,0.000101
VN,Job Insecurity,GenAI shock,24,8.4e-05
VN,Job Insecurity,GenAI shock,25,6.8e-05
VN,Job Insecurity,GenAI shock,26,5.4e-05
VN,Job Insecurity,Job Insecurity,0,1.0
VN,Job Insecurity,Job Insecurity,1,0.337246
VN,Job Insecurity,Job Insecurity,2,0.453267
VN,Job Insecurity,Job Insecurity,3,0.244328
VN,Job Insecurity,Job Insecurity,4,0.229772
VN,Job Insecurity,Job Insecurity,5,0.141205
VN,Job Insecurity,Job Insecurity,6,0.104549
VN,Job Insecurity,Job Insecurity,7,0.063497
VN,Job Insecurity,Job Insecurity,8,0.038625
VN,Job Insecurity,Job Insecurity,9,0.018374
VN,Job Insecurity,Job Insecurity,10,0.00469
VN,Job Insecurity,Job Insecurity,11,-0.004464
VN,Job Insecurity,Job Insecurity,12,-0.010322
VN,Job Insecurity,Job Insecurity,13,-0.013488
VN,Job Insecurity,Job Insecurity,14,-0.014969
VN,Job Insecurity,Job Insecurity,15,-0.015096
VN,Job Insecurity,Job Insecurity,16,-0.014452
VN,Job Insecurity,Job Insecurity,17,-0.013267
VN,Job Insecurity,Job Insecurity,18,-0.011833
VN,Job Insecurity,Job Insecurity,19,-0.010286
VN,Job Insecurity,Job Insecurity,20,-0.008758
VN,Job Insecurity,Job Insecurity,21,-0.007314
VN,Job Insecurity,Job Insecurity,22,-0.006001
VN,Job Insecurity,Job Insecurity,23,-0.00484
VN,Job Insecurity,Job Insecurity,24,-0.003838
VN,Job Insecurity,Job Insecurity,25,-0.00299
VN,Job Insecurity,Job Insecurity,26,-0.002286
VN,Job Insecurity,Burnout (MDI),0,0.0
VN,Job Insecurity,Burnout (MDI),1,-0.012916
VN,Job Insecurity,Burnout (MDI),2,-0.023501
VN,Job Insecurity,Burnout (MDI),3,-0.004904
VN,Job Insecurity,Burnout (MDI),4,-0.012313
VN,Job Insecurity,Burnout (MDI),5,-0.008268
VN,Job Insecurity,Burnout (MDI),6,-0.00784
VN,Job Insecurity,Burnout (MDI),7,-0.005562
VN,Job Insecurity,Burnout (MDI),8,-0.004625
VN,Job Insecurity,Burnout (MDI),9,-0.003467
VN,Job Insecurity,Burnout (MDI),10,-0.002588
VN,Job Insecurity,Burnout (MDI),11,-0.001839
VN,Job Insecurity,Burnout (MDI),12,-0.001256
VN,Job Insecurity,Burnout (MDI),13,-0.000815
VN,Job Insecurity,Burnout (MDI),14,-0.000473
VN,Job Insecurity,Burnout (MDI),15,-0.000229
VN,Job Insecurity,Burnout (MDI),16,-5.2e-05
VN,Job Insecurity,Burnout (MDI),17,6.4e-05
VN,Job Insecurity,Burnout (MDI),18,0.000139
VN,Job Insecurity,Burnout (MDI),19,0.00018
VN,Job Insecurity,Burnout (MDI),20,0.000199
VN,Job Insecurity,Burnout (MDI),21,0.000201
VN,Job Insecurity,Burnout (MDI),22,0.000192
VN,Job Insecurity,Burnout (MDI),23,0.000177
VN,Job Insecurity,Burnout (MDI),24,0.000158
VN,Job Insecurity,Burnout (MDI),25,0.000137
VN,Job Insecurity,Burnout (MDI),26,0.000117
