country,shock,response,horizon_week,irf_value
US,GenAI shock,AI Volatility,6,0.028311
US,GenAI shock,AI Volatility,7,0.01999
US,GenAI shock,AI Volatility,8,0.014114
US,GenAI shock,AI Volatility,9,0.009965
US,GenAI shock,AI Volatility,10,0.007035
US,GenAI shock,AI Volatility,11,0.004967
US,GenAI shock,AI Volatility,12,0.003507
US,GenAI shock,AI Volatility,13,0.002476
US,GenAI shock,AI Volatility,14,0.001748
US,GenAI shock,AI Volatility,15,0.001234
US,GenAI shock,AI Volatility,16,0.000871
US,GenAI shock,AI Volatility,17,0.000615
US,GenAI shock,AI Volatility,18,0.000434
US,GenAI shock,AI Volatility,19,0.000307
US,GenAI shock,AI Volatility,20,0.000216
US,GenAI shock,AI Volatility,21,0.000153
US,GenAI shock,AI Volatility,22,0.000108
US,GenAI shock,AI Volatility,23,7.6e-05
US,GenAI shock,AI Volatility,24,5.4e-05
US,GenAI shock,AI Volatility,25,3.8e-05
US,GenAI shock,AI Volatility,26,2.7e-05
US,GenAI shock,GenAI shock,0,1.0
US,GenAI shock,GenAI shock,1,0.048317
US,GenAI shock,GenAI shock,2,-0.020224
US,GenAI shock,GenAI shock,3,-0.022432
US,GenAI shock,GenAI shock,4,-0.017308
US,GenAI shock,GenAI shock,5,-0.012504
US,GenAI shock,GenAI shock,6,-0.008868
US,GenAI shock,GenAI shock,7,-0.006271
US,GenAI shock,GenAI shock,8,-0.004428
US,GenAI shock,GenAI shock,9,-0.003127
US,GenAI shock,GenAI shock,10,-0.002207
US,GenAI shock,GenAI shock,11,-0.001559
US,GenAI shock,GenAI shock,12,-0.0011
US,GenAI shock,GenAI shock,13,-0.000777
US,GenAI shock,GenAI shock,14,-0.000548
US,GenAI shock,GenAI shock,15,-0.000387
US,GenAI shock,GenAI shock,16,-0.000273
US,GenAI shock,GenAI shock,17,-0.000193
US,GenAI shock,GenAI shock,18,-0.000136
US,GenAI shock,GenAI shock,19,-9.6e-05
US,GenAI shock,GenAI shock,20,-6.8e-05
US,GenAI shock,GenAI shock,21,-4.8e-05
US,GenAI shock,GenAI shock,22,-3.4e-05
US,GenAI shock,GenAI shock,23,-2.4e-05
US,GenAI shock,GenAI shock,24,-1.7e-05
US,GenAI shock,GenAI shock,25,-1.2e-05
US,GenAI shock,GenAI shock,26,-8e-06
