,mean,std,min,max,skewness,kurtosis
GenAI Shock,1.307,1.107,0.0,3.36,0.397,-1.214
Job Insecurity,1.734,0.957,0.0,3.311,-0.846,-0.523
Burnout (MDI),3.039,0.225,2.342,3.694,-0.363,0.62
Job Quitting,3.062,0.167,2.175,3.428,-0.828,3.933
Inflation,0.072,0.071,-0.069,0.301,0.688,0.932
