,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR,d_l_SHOCK_Index,d_l_MDI_Index,d_l_IIP_sa,d_l_EXR,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2022-01-16,0.0,6.6,17.6,18.4,15.4,170.20490529088966,0.0847277752863862,22645.0,0.0,2.028148247292285,2.923161580719156,2.9652730660692823,2.797281334830153,0.0847277752863862,5.137003036469497,10.027694355990317,0.0,-0.20359895524123894,-0.0018557871319231367,-0.002866279109287717,0.0153283414077138,0.8456581979074168,0.169097958235555,0.3970772824413017,0.1886832351445421
2022-01-23,0.0,4.8,11.6,11.8,17.0,169.88874794823232,0.0846560481001956,22630.0,0.0,1.7578579175523736,2.533696813957432,2.5494451709255714,2.8903717578961645,0.0846560481001956,5.135143798987587,10.027031738627583,0.0,-0.38946476676172415,-0.0018592374819093038,-0.0006626173627335419,0.0140340573431107,0.6871008848840562,0.1732177252848622,0.331059705084249,0.1974655962555098
2022-01-30,0.0,0.0,9.4,5.0,7.8,169.572590605575,0.0845844422540764,22645.0,0.0,0.0,2.341805806147327,1.791759469228055,2.174751721484161,0.0845844422540764,5.1332810983017465,10.027694355990317,0.0,-0.19189100781010504,-0.0018627006858409345,0.0006626173627335419,0.0152073046135592,0.6539061696805761,0.2445369119403077,0.5091310700993888,0.1595537173528759
2022-02-06,0.0,0.0,13.2,12.6,22.6,169.25643326291765,0.0845129574403857,22680.0,0.0,0.0,2.653241964607215,2.6100697927420065,3.1612467120315646,0.0845129574403857,5.131414921486064,10.029238757841688,0.0,0.3114361584598879,-0.0018661768156826852,0.0015444018513708357,0.0162530863706412,1.2310137904103136,0.2013191760690308,0.6432735473280968,0.4666595717953108
2022-02-13,0.0,2.2,15.4,16.6,21.6,169.6308199179293,0.1653643392600212,22785.0,0.0,1.1631508098056809,2.797281334830153,2.8678989020441064,3.1179499062782403,0.1653643392600212,5.133624428062709,10.033857703697985,0.0,0.1440393702229379,0.0022095065766452038,0.004618945856297074,0.0176030968958769,0.976584774023428,0.1670586530603505,0.4056846358512878,0.4493691691969094
2022-02-20,0.0,6.6,17.6,17.8,23.2,170.00520657294095,0.1650913370613294,22840.0,0.0,2.028148247292285,2.923161580719156,2.933856869835904,3.186352633162641,0.1650913370613294,5.13582906348092,10.036268663769947,0.0,0.12588024588900337,0.0022046354182112538,0.00241096007196262,0.0189566012291505,0.8556387039673532,0.1514918605085614,0.2891224338373647,0.3787575261207078
2022-02-27,0.0,7.2,18.4,21.4,25.8,170.3795932279526,0.1648192347828647,22835.0,0.0,2.1041341542702074,2.9652730660692823,3.109060958860994,3.288401887516811,0.1648192347828647,5.138028849171726,10.0360497256191,0.0,0.0421114853501261,0.002199785690805811,-0.0002189381508479471,0.0203477819562248,0.8249973362436319,0.1543292597607936,0.2436815190064638,0.3197968066775624
2022-03-06,0.0,14.0,22.2,26.0,25.6,170.75397988296425,0.1645480279822919,22835.0,0.0,2.70805020110221,3.1441522786722644,3.295836866004329,3.2809112157876537,0.1645480279822919,5.140223806425031,10.0360497256191,0.0,0.17887921260298212,0.0021949572533053185,0.0,0.0217109533854278,0.6819374616541771,0.1477385039327262,0.2324700945286141,0.2791752557455049
2022-03-13,0.2,16.0,31.4,30.2,29.0,171.02567605137918,0.1871705087936437,22865.0,0.1823215567939546,2.833213344056216,3.478158422798284,3.4404180948154366,3.4011973816621555,0.1871705087936437,5.141813697578171,10.037362636092157,0.1823215567939546,0.3340061441260196,0.0015898911531397886,0.0013129104730573715,0.0765116975766841,0.7507803129664375,0.1740294617848734,0.2233076050870313,0.2262051089373617
2022-03-20,0.0,10.4,27.8,26.2,28.4,171.2973722197941,0.1868208352856948,22869.0,0.0,2.4336133554004498,3.3603753871419,3.3032169733019514,3.380994674344636,0.1868208352856948,5.143401064989376,10.037537560656384,-0.1823215567939546,-0.11778303565638382,0.0015873674112052427,0.00017492456422729674,0.1383314109979,0.7284786078158939,0.2381855678214519,0.1462081819873006,0.2023574385617113
2022-03-27,0.0,12.2,21.8,23.0,26.0,171.56906838820902,0.1864724658673822,22838.0,0.0,2.580216829592325,3.126760535960395,3.1780538303479458,3.295836866004329,0.1864724658673822,5.144985916658165,10.036181094261591,0.0,-0.23361485118150505,0.0015848516687881897,-0.001356466394792477,0.0999432634892356,0.6366273097603466,0.147435334936693,0.1000167130293542,0.1661482316184526
2022-04-03,0.0,10.0,21.6,20.8,24.0,171.84076455662395,0.186125393256975,22859.0,0.0,2.3978952727983707,3.1179499062782403,3.0819099697950434,3.218875824868201,0.186125393256975,5.1465682605460765,10.037100191860048,0.0,-0.008810629682154847,0.0015823438879118967,0.000919097598456986,0.0837077386920365,0.6417946465086285,0.154811689472212,0.0616330114254609,0.1375360415543267
2022-04-10,0.0,5.2,22.0,21.0,23.2,171.70954096250972,0.1240342629340807,22900.0,0.0,1.824549292051046,3.1354942159291497,3.091042453358316,3.186352633162641,0.1240342629340807,5.145804333992161,10.03889218954233,0.0,0.017544309650909362,-0.0007639265539154394,0.0017919976822824424,0.0590736307956492,0.6159997954827602,0.1456175609688021,0.0743741779574577,0.1318980604796741
2022-04-17,0.0,9.6,23.0,22.8,23.6,171.57831736839552,0.1238806085343657,22962.0,0.0,2.360854001118021,3.1780538303479458,3.169685580677429,3.202746442938317,0.1238806085343657,5.145039823408282,10.041595954653758,0.0,0.04255961441879608,-0.0007645105838793853,0.0027037651114270034,0.0501344804027812,0.6566798644094852,0.1468506351065579,0.0979335871629814,0.124748771759297
