r,trace_stat,trace_cv_90,trace_cv_95,max_stat,max_cv_95
0,228.26210657962125,153.6341,159.529,62.56733446342861,52.3622
1,165.6947721161926,120.3673,125.6185,51.976910458030225,46.2299
2,113.71786165816239,91.109,95.7542,35.530922226163156,40.0763
3,78.18693943199925,65.8202,69.8189,31.13814387662232,33.8777
4,47.04879555537692,44.4929,47.8545,23.17089893921888,27.5858
5,23.87789661615804,27.0669,29.7961,13.817009445245528,21.1314
6,10.060887170912512,13.4294,15.4943,8.287762890463748,14.2639
7,1.7731242804487641,2.7055,3.8415,1.7731242804487641,3.8415
