,mean,std,min,max,skewness,kurtosis
GenAI Shock,1.715,1.001,0.0,3.109,-0.607,-0.763
Job Insecurity,1.896,0.793,0.0,3.273,-0.842,0.311
Burnout (MDI),2.89,0.229,2.282,3.747,1.026,2.474
Job Quitting,3.022,0.171,2.549,3.747,1.553,5.536
Inflation,0.071,0.063,-0.046,0.301,1.474,2.623
