,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR,d_l_SHOCK_Index,d_l_VOL_Base_Index,d_l_MDI_Index,d_l_LEARN_Index,d_l_ESCAPE_Index,d_l_IIP_sa,d_l_EXR,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2022-01-16,0.0,0.0,12.2,0.8,19.6,100.80751045239656,0.0842511716168781,106.92812,0.0,0.0,2.580216829592325,0.5877866649021191,3.025291075795536,0.0842511716168781,4.613212861317966,4.672156833018571,0.0,0.0,0.06252035698133396,0.11778303565638348,-0.019231361927887214,-0.00014615844539722644,-0.008230466940840842,0.0708283647259756,0.2110114667668645,0.1003158227064444,0.1016926094837999,0.0669591199171954
2022-01-23,0.0,0.0,15.4,0.8,21.4,100.79277550659236,0.0841802487710596,107.032325,0.0,0.0,2.797281334830153,0.5877866649021191,3.109060958860994,0.0841802487710596,4.613066681507156,4.673130891641781,0.0,0.0,0.21706450523782772,0.0,0.0837698830654583,-0.0001461798108097767,0.0009740586232105386,0.0637393382477875,0.182516770726118,0.0903922438778624,0.0384535952964277,0.0629584309688662
2022-01-30,0.0,0.0,14.4,0.8,21.2,100.77804056078816,0.0841094452307844,108.15076,0.0,0.0,2.734367509419584,0.5877866649021191,3.100092288878234,0.0841094452307844,4.612920480324683,4.683526179651307,0.0,0.0,-0.06291382541056878,0.0,-0.008968669982760247,-0.0001462011824733267,0.010395288009525494,0.0594743499157601,0.1606846332190776,0.1619394469899834,0.0199884874020203,0.0766474444116762
2022-02-06,0.0,0.0,16.6,0.8,22.4,100.76330561498398,0.084038760695404,107.8043,0.0,0.0,2.8678989020441064,0.5877866649021191,3.152736022363656,0.084038760695404,4.6127742577643005,4.68031754636211,0.0,0.0,0.1335313926245223,0.0,0.05264373348542195,-0.00014622256038254733,-0.0032086332891969604,0.0575463481446183,0.1443446593940899,0.1271104259284363,0.0150762850984163,0.0670862329093078
2022-02-13,0.0,0.0,14.6,0.6,20.2,100.88918276606206,0.3013254693393197,107.32684,0.0,0.0,2.747270914255491,0.4700036292457356,3.054001181677967,0.3013254693393197,4.614022714140301,4.675878758151878,0.0,0.0,-0.12062798778861517,-0.11778303565638348,-0.09873484068568894,0.0012484563760004619,-0.004438788210231692,0.0565195017235859,0.1323868912806436,0.1300585309299072,0.0674053669400078,0.0746284407886151
2022-02-20,0.0,0.0,15.8,0.6,19.2,101.01505991714016,0.3004202266813083,107.76114,0.0,0.0,2.8213788864092133,0.4700036292457356,3.005682604407159,0.3004202266813083,4.61526961381625,4.679917111110739,0.0,0.0,0.07410797215372211,0.0,-0.04831857727080768,0.0012468996759489315,0.004038352958860791,0.0559789895776276,0.1238366804708788,0.1306415424888524,0.0608586613612789,0.0824239657765856
2022-02-27,0.0,0.0,16.2,0.8,20.4,101.14093706821824,0.2995204067962165,108.223025,0.0,0.0,2.8449093838194077,0.5877866649021191,3.0633909220278057,0.2995204067962165,4.616514960669409,4.68419414414328,0.0,0.0,0.023530497410194418,0.11778303565638348,0.05770831762064654,0.001245346853159468,0.004277033032541233,0.0556963154700887,0.1178606134952946,0.1095705754823573,0.0618633028550504,0.0813343725047823
2022-03-06,0.0,0.0,16.0,0.8,20.0,101.26681421929632,0.2986259611027275,108.90986,0.0,0.0,2.833213344056216,0.5877866649021191,3.044522437723423,0.2986259611027275,4.617758758562577,4.690520567621706,0.0,0.0,-0.011696039763191557,0.0,-0.018868484304382704,0.0012437978931671978,0.0063264234784261575,0.0555489986037945,0.1137739782647516,0.0878672349692687,0.0455779287364928,0.0706732828072814
2022-03-13,0.0,0.0,15.2,0.6,19.6,101.24000294556136,0.0801892629154199,110.02108,0.0,0.0,2.785011242238338,0.4700036292457356,3.025291075795536,0.0801892629154199,4.617493964771761,4.70067198379615,0.0,0.0,-0.048202101817877985,-0.11778303565638348,-0.019231361927887214,-0.00026479379081578713,0.010151416174443817,0.0554723651035793,0.1110384682590562,0.0759629695401902,0.0798284607878119,0.0659001937363477
2022-03-20,0.0,0.0,16.0,0.6,20.4,101.21319167182644,0.0801250112594909,109.83482,0.0,0.0,2.833213344056216,0.4700036292457356,3.0633909220278057,0.0801250112594909,4.617229100846622,4.698977600842937,0.0,0.0,0.048202101817877985,0.0,0.03809984623226992,-0.000264863925139025,-0.0016943829532127808,0.0554325392135872,0.1092478474670929,0.0779195951897575,0.0619352106993189,0.0632963355257341
