,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2022-01-09,,0.7839964326130141,,0.5861854236266701,0.2283753127212468
2022-01-16,0.015328341407713806,0.8456581979074168,0.16909795823555507,0.3970772824413017,0.1886832351445421
2022-01-23,0.014034057343110706,0.6871008848840562,0.1732177252848622,0.33105970508424903,0.1974655962555098
2022-01-30,0.015207304613559281,0.6539061696805761,0.24453691194030772,0.5091310700993888,0.15955371735287593
2022-02-06,0.016253086370641257,1.2310137904103136,0.2013191760690308,0.6432735473280968,0.4666595717953108
2022-02-13,0.01760309689587699,0.9765847740234281,0.16705865306035053,0.40568463585128783,0.44936916919690945
2022-02-20,0.01895660122915055,0.8556387039673532,0.1514918605085614,0.28912243383736475,0.37875752612070784
2022-02-27,0.020347781956224865,0.8249973362436319,0.15432925976079365,0.24368151900646387,0.31979680667756244
2022-03-06,0.021710953385427865,0.6819374616541771,0.14773850393272628,0.23247009452861414,0.2791752557455049
2022-03-13,0.07651169757668419,0.7507803129664375,0.17402946178487344,0.22330760508703132,0.2262051089373617
2022-03-20,0.1383314109979,0.7284786078158939,0.23818556782145198,0.1462081819873006,0.20235743856171134
2022-03-27,0.0999432634892356,0.6366273097603466,0.14743533493669303,0.10001671302935422,0.16614823161845269
2022-04-03,0.08370773869203658,0.6417946465086285,0.15481168947221208,0.06163301142546097,0.13753604155432675
2022-04-10,0.059073630795649264,0.6159997954827602,0.14561756096880218,0.07437417795745771,0.13189806047967412
2022-04-17,0.050134480402781297,0.6566798644094852,0.1468506351065579,0.09793358716298141,0.12474877175929704
2022-04-24,0.04287305921570674,0.6862948200188563,0.14958980421716114,0.08325694020703288,0.10696754302344658
2022-05-01,0.039469639784164796,0.6540238132976394,0.14474055823924215,0.08482976391608832,0.09454087885597443
2022-05-08,0.03730054198314899,0.6137022592381819,0.14471889883190317,0.0613390636443229,0.08624921269725987
2022-05-15,0.03625537671829937,0.6117528303076616,0.1494110974661358,0.1258081329287112,0.09553698053456948
2022-05-22,0.0357246568995911,0.8622770235093461,0.1451901105800018,0.14845396574606864,0.0985626033292377
2022-05-29,0.03554569548708215,1.1453513792319574,0.15182211874193827,0.10368590208811025,0.11263486664276692
