,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2022-01-16,0.07082836472597562,0.21101146676686458,0.10031582270644444,0.10169260948379992,0.06695911991719546
2022-01-23,0.06373933824778755,0.18251677072611805,0.09039224387786242,0.038453595296427716,0.0629584309688662
2022-01-30,0.05947434991576015,0.1606846332190776,0.16193944698998344,0.01998848740202031,0.07664744441167624
2022-02-06,0.05754634814461837,0.14434465939408997,0.1271104259284363,0.015076285098416317,0.06708623290930785
2022-02-13,0.056519501723585934,0.13238689128064363,0.1300585309299072,0.06740536694000786,0.0746284407886151
2022-02-20,0.05597898957762767,0.12383668047087887,0.13064154248885243,0.0608586613612789,0.08242396577658566
2022-02-27,0.05569631547008874,0.11786061349529461,0.10957057548235731,0.06186330285505041,0.08133437250478236
2022-03-06,0.0555489986037945,0.11377397826475166,0.08786723496926871,0.045577928736492884,0.07067328280728144
2022-03-13,0.05547236510357936,0.11103846825905622,0.07596296954019023,0.07982846078781194,0.06590019373634778
2022-03-20,0.05543253921358728,0.10924784746709294,0.0779195951897575,0.06193521069931899,0.06329633552573419
2022-03-27,0.055411852402970405,0.10810585115322167,0.07558561715217052,0.07117248412890403,0.060904555848902794
2022-04-03,0.05540110984466626,0.10740210398563463,0.07147974145468067,0.08987447586395327,0.05813239406196067
2022-04-10,0.05539553204762309,0.10699018258708674,0.07466124567642836,0.13319031147636634,0.058084219620697514
2022-04-17,0.05539263612505638,0.10676968219568879,0.09961065352403274,0.11137795845554277,0.07295780627627704
2022-04-24,0.055391132653512185,0.10667253428314609,0.09568776442789756,0.10767722352461816,0.07319426725900696
2022-05-01,0.0553903521134692,0.20697228745901908,0.08131121164934076,0.10289449422692405,0.08058135953593927
2022-05-08,0.055389946893482554,0.21769910432587644,0.07171025664239948,0.12067218957790436,0.06939902014055516
2022-05-15,0.05538973652324731,0.4512689482970198,0.09751017254749042,0.09108761455621854,0.0702769930088457
2022-05-22,0.05538962730968656,0.39284194436670383,0.13239286454424418,0.1168731210723558,0.06625746208918022
2022-05-29,0.05538957061162141,0.38596952701906995,0.10527845487108883,0.10349034241801082,0.09193578193770618
2022-06-05,0.05538954117692249,0.32165070906181925,0.09078915843470887,0.15336441095160025,0.08131357599099542
2022-06-12,0.05538952589595703,0.31746679652849247,0.08414867219054045,0.15642665798380295,0.07034877805902622
2022-06-19,0.055389517962875695,0.30632768516379416,0.07330915745538989,0.1866943467398053,0.06343664927489756
2022-06-26,0.05538951384443349,0.36456914321993467,0.07127143808186295,0.13582493724651873,0.07812568950039879
2022-07-03,0.055389511706353145,0.3223673258340371,0.06672121425575255,0.13873916538421383,0.07174467754619672
2022-07-10,0.0553895105963734,0.30473462235872606,0.0723794218057932,0.11241789251208141,0.0797028288879976
2022-07-17,0.1279324927850814,0.27598922036799745,0.07563323266812189,0.07056794986572087,0.08216733149522536
2022-07-24,0.19316860400685779,0.24355473914280906,0.07274904874822437,0.08451259184543929,0.07099534159915072
2022-07-31,0.15500834688149914,0.2240783242517747,0.06752889190173572,0.06126561768057019,0.06461355925900096
2022-08-07,0.14028615243234946,0.21454409654574888,0.0683928653441537,0.0713326394442512,0.06073036630205254
2022-08-14,0.11454824908404543,0.27599995696460633,0.07254661875033071,0.07578588227817212,0.05869647019120348
2022-08-21,0.09487102107571213,0.2351476092918669,0.06747020657566453,0.07794669046517087,0.06015740477946893
2022-08-28,0.07840821889534516,0.20213735015417197,0.06502941885762713,0.08577610755754511,0.06187779642543392
2022-09-04,0.06831468111056654,0.19476760151930494,0.06781861311571778,0.06566944302136193,0.06675784526382494
2022-09-11,0.06243446233575947,0.1719034610630554,0.08797881319740927,0.05693851033752994,0.06567496549200481
2022-09-18,0.05915170182299408,0.18030432638005267,0.11446761305948053,0.052111593150798635,0.06532631691687357
2022-09-25,0.05737344401434433,0.16147412190051783,0.09223909862835232,0.04718874874369835,0.06152020646412249
2022-10-02,0.147829542631012,0.1776820211705749,0.07754527557924268,0.08878044125803959,0.09697233380451534
2022-10-09,0.11416071853371845,0.15905793747762473,0.07291680034818951,0.0791091597079889,0.09204905939164988
2022-10-16,0.10308562462554649,0.19278918004165013,0.06752169440923378,0.08372048010139563,0.09438118721329651
2022-10-23,0.08361849911357487,0.17260097046306874,0.06593635192556993,0.060565681564423275,0.081089780180755
2022-10-30,0.07145042072272428,0.15308872308162802,0.06735490882778178,0.05009425049532681,0.07052184008113749
2022-11-06,0.06423073579122224,0.49327523952946,0.07898180914593382,0.052983975147411155,0.06422242171713653
2022-11-13,0.06014185818237706,0.6245585340483542,0.07361187779365148,0.0753538414555759,0.06911854995959475
2022-11-20,0.057905383526774816,0.5166184086248145,0.06889464918269407,0.05883022885613818,0.07241845871730379
2022-11-27,0.05670955302173276,0.5044846874404098,0.19853939799292708,0.0952354493797291,0.18546030140466346
2022-12-04,0.3053327913360447,0.4230714635257919,0.24145260461216866,0.06344661423441232,0.17015020138718318
2022-12-11,0.3741092331409991,0.36593444325683905,0.1888593302830588,0.0446981205313064,0.12831375824422028
2022-12-18,0.27392186435627225,0.30612037665351016,0.14849447806273244,0.029828230186353773,0.10285506918049026
2022-12-25,0.2501282249576141,0.37271910958416543,0.3539288949844886,0.05554642326991911,0.1911668920505315
2023-01-01,0.18410311742774182,0.31460111510826594,0.2560615394891627,0.050687771485211586,0.15539722985418475
2023-01-08,0.14803775958268928,0.5017232134790529,0.25100583464539467,0.10662551378883893,0.1543118389721095
2023-01-15,0.13869134796110136,0.41531267881650963,0.19888571040159517,0.12189385102325889,0.13558566980341868
2023-01-22,0.12491832489264404,0.5854885488456658,0.1527389358001876,0.13631228375304252,0.1209573607349559
2023-01-29,0.1911915462715602,0.5027345085091934,0.1185184719574315,0.08360531906999025,0.11830756078979614
2023-02-05,0.15140740720331272,0.43074468041976405,0.0960342381189297,0.07875267176080906,0.10682412624347391
2023-02-12,0.15506360675046907,0.3624599903770946,0.0834713277131878,0.04882377662936368,0.08934936558321248
2023-02-19,0.12768410696364546,0.3090371649540859,0.09184151090061436,0.07439674575937462,0.07478791399931578
2023-02-26,0.10778872730394039,0.2721650291445985,0.0796081990996454,0.05478753399334962,0.06677418781531129
2023-03-05,0.08733394470635744,0.23252331240348323,0.0717550219246486,0.07720082388040225,0.06145043211760005
2023-03-12,0.09490850861909683,0.2004674565429651,0.06696245616452233,0.04766653612366412,0.06198105993256411
2023-03-19,0.09148195120151796,0.1873351698876155,0.06466778011266539,0.07888434883876658,0.06239196622536427
2023-03-26,0.10664485820214951,0.20140792003918126,0.06868843354778771,0.17902426238449365,0.060756937772978865
2023-04-02,0.08524854662168986,0.1869729581180222,0.06546600186153045,0.15298516360196104,0.05962123798848329
2023-04-09,0.0716796363358859,0.16961253287330835,0.08535850258896562,0.1299968402045826,0.057542236717616074
2023-04-16,0.06614970246674315,0.18313315775544242,0.07465608448436412,0.11654789377321251,0.06511258232018374
2023-04-23,0.0603295748356993,0.18148447923205466,0.11481025704449292,0.08697605191862563,0.06104748156301738
2023-04-30,0.07351014580476817,0.18674513415860897,0.09009069113630302,0.06117551686280646,0.07251119706922425
2023-05-07,0.07391898421087553,0.16614610140825253,0.10744424883225606,0.08497095517977966,0.06501912214566569
2023-05-14,0.06615371162358935,0.15681411735577241,0.0959222803141785,0.05593940071472718,0.06167458580488574
2023-05-21,0.06451049835154724,0.18450993462996915,0.09138308166939364,0.08882267216450387,0.06929519801274803
2023-05-28,0.09539029356205907,0.16248811036573796,0.07707817784603513,0.10279687701450932,0.11044266639026074
2023-06-04,0.10263209506184703,0.1777763652738016,0.11686827067109286,0.10567670272902749,0.089515622370295
2023-06-11,0.0839234299010326,0.1569795236409099,0.09249182976613927,0.09611775261028918,0.07684563504423815
